,text_token
486,"['bnekiyak', 'yakub', 'due', 'pandemic', 'few', 'staff', 'deal', 'increase', 'customer', 'come', 'fxe2x80xa6', 'httpstcoeex6d0t5lt']"
487,"['bmaxloelz', 'max', 'sorry', 'wait', 'just', 'know', 'best', 'help', 'brief', 'explanation', 'wxe2x80xa6', 'httpstcohemnkkis7z']"
488,"['bjenniferp1012', 'jenn', 'apologies', 'wait', 'time', 'we', 'reduce', 'staff', 'higher', 'number', 'people', 'get', 'ixe2x80xa6', 'httpstco3tn6snqcyo']"
489,"['bthingsgetworse1', 'hear', 'youll', 'reach', 'us', 'team', 'askbarclaysus', 'mondayxe2x80xa6', 'httpstco3dwnefaoq7']"
490,"['bofficial_rakman', 'rak', 'get', 'back', 'late', 'you', 'request', 'transfer', 'credit', 'baxe2x80xa6', 'httpstcoptwltdz2v1']"
491,"['bdjhunter77', 'david', 'late', 'response', 'can', 'send', 'problem', 'alongxe2x80xa6', 'httpstcopa57kogmx9']"
492,"['bh8epy', 'mark', 'wait', 'able', 'get', 'phone', 'drop', 'yxe2x80xa6', 'httpstcobvrr1i7fjh']"
493,"['bm88_rich', 'rich', 'late', 'response', 'access', 'account', 'online', 'send', 'request', 'thxe2x80xa6', 'httpstco7u05acpc6n']"
494,"['bdanielarda', 'daniel', 'you', 'request', 'transfer', 'credit', 'balance', 'back', 'bank', 'account', 'online', 'toxe2x80xa6', 'httpstcoxkcmtmwlrd']"
495,"['bbashirzahid', 'zahid', 'our', 'colleague', 'everything', 'answer', 'quickly', 'possible', 'buxe2x80xa6', 'httpstcohz4hhcd56s']"
496,"['bgav71', 'gavin', 'sorry', 'get', 'back', 'its', 'quite', 'long', 'one', 'fit', 'tweet', 'youvexe2x80xa6', 'httpstcoaqlx3gg3sj']"
497,"['brobjanuario', 'robert', 'wait', 'time', 'our', 'colleague', 'deal', 'high', 'number', 'call', 'due', 'txe2x80xa6', 'httpstcoqkstnrsuij']"
498,"['bpmrobets', 'paul', 'issue', 'line', 'did', 'get', 'sort', 'please', 'senxe2x80xa6', 'httpstcoweqozpunus']"
499,"['bjoannebeverley4', 'joanne', 'see', 'youve', 'come', 'via', 'page', 'barclaysukhelp', 'page', 'welxe2x80xa6', 'httpstcoqkpw5gtakf']"
500,"['bliz90175518', 'youre', 'welcome', 'liz', 'kristos']"
501,"['bannettehenders2', 'annette', 'sorry', 'get', 'back', 'hope', 'youre', 'keep', 'well', 'did', 'fxe2x80xa6', 'httpstcovmln2eys2u']"
502,"['bdebiscoo', 'ive', 'reply', 'another', 'message', 'youve', 'send', 'look', 'help', 'steven', 'b']"
503,"['bjadebarrett27', 'ah', 'youre', 'welcome', 'let', 'know', 'anything', 'else', '247', 'stay', 'safe', 'jade', 'kev']"
504,"['bmariondrakemosk', 'marion', 'were', 'really', 'busy', 'moment', 'could', 'please', 'let', 'know', 'yxe2x80xa6', 'httpstcodt4qb9sumq']"
505,"['baliciagturrell', 'alicia', 'do', 'access', 'mybarclaycard', 'via', 'httpstcoslprcvbk3e', 'you', 'query', 'transxe2x80xa6', 'httpstcoxbegrspii5']"
506,"['badow8211', 'really', 'wait', 'did', 'manage', 'speak', 'someone', 'tell', 'lxe2x80xa6', 'httpstcobnvfzem9hs']"
507,"['bofficialsmith29', 'thanks', 'get', 'touch', 'are', 'register', 'barclaycaxe2x80xa6', 'httpstcoas3njocmtt']"
508,"['bsheena83627553', 'let', 'know', 'could', 'please', 'pop', 'let', 'know', 'error', 'code', 'orxe2x80xa6', 'httpstcongdsoyskfh']"
509,"['bemmapri70937221', 'hi', 'emma', 'sorry', 'reply', 'issue', 'youve', 'face', 'make', 'payment', 'there', 'arexe2x80xa6', 'httpstconohwitth3c']"
510,"['bslaterjames18', 'ah', 'weve', 'see', 'people', 'say', 'there', 'work', 'around', 'tell', 'youre', 'lock', 'oxe2x80xa6', 'httpstcotg6cqm0akc']"
511,"['bemilyxvxo', 'thats', 'okay', 'anything', 'else', 'meantime', 'let', 'know', 'steven', 'b']"
512,"['bkylegibbs_94', 'great', 'news', 'really', 'anything', 'else', 'please', 'let', 'know', 'nicola']"
513,"['bsimonmoss1983', 'simon', 'pop', 'full', 'name', 'postcode', 'take', 'look', 'brogan']"
514,"['bbensowerby', 'ben', 'manage', 'get', 'please', 'pop', 'let', 'knowxe2x80xa6', 'httpstcoknzludxw2y']"
515,"['bjess_fulford', 'jessica', 'really', 'work', 'hard', 'deal', 'amount', 'qxe2x80xa6', 'httpstcokjmkoxmxrh']"
516,"['bdavemccann02', 'dave', 'hope', 'get', 'pop', 'let', 'know', 'whaxe2x80xa6', 'httpstcobykc4rh3hu']"
517,"['bemmataylorlytt2', 'emma', 'get', 'touch', 'pop', 'let', 'knxe2x80xa6', 'httpstcoreknvagjlt']"
518,"['bstphnhope', 'stephen', 'you', 'request', 'transfer', 'credit', 'balance', 'back', 'bank', 'account', 'online', 'toxe2x80xa6', 'httpstcoyblnswrb3r']"
519,"['bmarktyrer', 'mark', 'able', 'get', 'touch', 'pop', 'let', 'mxe2x80xa6', 'httpstcos1tmvm2fob']"
520,"['bpetesa1107', 'pete', 'take', 'long', 'come', 'back', 'work', 'hard', 'catcxe2x80xa6', 'httpstco3hekzhbyx2']"
521,"['bcitizensnagging', 'jgmsoftware', 'edinburgh_cc', 'take', 'long', 'come', 'back', 'work', 'asxe2x80xa6', 'httpstcobuk5abwfsx']"
522,"['blaurisgv_97', 'jordsliddle', 'laura', 'really', 'work', 'hard', 'deal', 'axe2x80xa6', 'httpstcoxcinhmswn2']"
523,"['bjonathanjoneill', 'jonathan', 'delay', 'call', 'receiving', 'lot', 'call', 'customexe2x80xa6', 'httpstcouqhcql4re7']"
524,"['bmcudera', 'maciej', 'message', 'take', 'long', 'come', 'back', 'work', 'axe2x80xa6', 'httpstcovwf48stsjt']"
525,"['brp5bd', 'hear', 'rajiv', 'weve', 'super', 'busy', 'across', 'channel', 'hope', 'manage', 'get', 'touchxe2x80xa6', 'httpstcotayhfohblk']"
526,"['bmyktbh', 'ah', 'glad', 'get', 'sort', 'really', 'appreciate', 'patience', 'queue', 'were', 'really', 'tryingxe2x80xa6', 'httpstcomidudp98pb']"
527,"['b2020xxb', 'hope', 'able', 'get', 'touch', 'please', 'pop', 'letxe2x80xa6', 'httpstcogabjjoeicr']"
528,"['bbitmap_books', 'take', 'long', 'come', 'back', 'work', 'hard', 'catch', 'wixe2x80xa6', 'httpstcocb5gitas8m']"
529,"['bvidaner', 'there', 'help', 'please', 'detail', 'dan']"
530,"['bmgrayso86353221', 'there', 'reply', 'dan']"
531,"['bbooeybok', 'kate', 'message', 'take', 'long', 'come', 'back', 'cant', 'help', 'witxe2x80xa6', 'httpstcollc1e3xeu0']"
532,"['bstudunmow', 'apologies', 'late', 'reply', 'stuart', 'respond', 'dan']"
533,"['banorakmk2phil', 'phil', 'cant', 'assist', 'update', 'dispute', 'case', 'dont', 'anxe2x80xa6', 'httpstcojtsfexybyh']"
534,"['barrbee5', 'yeah', 'pay', 'phone', 'use', 'debit', 'card', 'please', 'let', 'know', 'hold', 'barclays', 'current', 'acxe2x80xa6', 'httpstcoaoees8svv8']"
535,"['bvitosauras', 'helen', 'message', 'find', 'information', 'section', '75', 'via', 'linkxe2x80xa6', 'httpstcodtkeeqmg1h']"
536,"['bdmwalker1983', 'dan', 'experience', 'youve', 'appreciate', 'wait', 'reply', 'well', 'nxe2x80xa6', 'httpstcohnsazk01z7']"
537,"['bbarberspole', 'artrixarts', 'aaron', 'apologies', 'may', 'worth', 'take', 'look', 'follow', 'link', 'regardinxe2x80xa6', 'httpstcogfgiyzqwjp']"
538,"['bgingerarmy26', 'martin', 'scroll', 'barclaycard', 'select', 'youll', 'see', 'barclaycard', 'illustxe2x80xa6', 'httpstco4ahznuysfp']"
539,"['bsueturnbull', 'sue', 'can', 'please', 'ill', 'character', 'available', 'advise', 'do', 'dan']"
540,"['bif', 'youd', 'like', 'start', 'manage', 'account', 'home', 'here', 'register', 'barclaycard', 'online', 'servicingnnfxe2x80xa6', 'httpstcol05ndoxspa']"
541,"['bdangreaze', 'there', 'message', 'contact', 'friends', 'bcardbusiness', 'theyll', 'happy', 'help', 'txe2x80xa6', 'httpstcohc2ds1apmx']"
542,"['bcassie_jc', 'really', 'work', 'hard', 'deal', 'amount', 'query', 'wexe2x80xa6', 'httpstcohdhb92fvg4']"
543,"['bgavlea82', 'youre', 'welcome', 'detail', 'might', 'best', 'people', 'speak', 'regard', 'thixe2x80xa6', 'httpstco9jrksdmi1g']"
544,"['bblakesleybird', 'louise', 'youd', 'like', 'postcode', 'phone', 'number', 'ill', 'see', 'wxe2x80xa6', 'httpstcobvdqiqmlou']"
545,"['bellapam213', 'pam', 'manage', 'get', 'sort', 'please', 'pop', 'let', 'kxe2x80xa6', 'httpstcod11tgrqi6g']"
546,"['bdriv4n', 'see', 'message', 'hope', 'youve', 'hear', 'back', 'dispute', 'pop', 'dmxe2x80xa6', 'httpstcoyfhtunrbjo']"
547,"['bcancelled1812', 'sorry', 'get', 'back', 'hop', 'youve', 'receive', 'voucher', 'butxe2x80xa6', 'httpstcol7fp3zi3ku']"
548,"['bsacredgem83', 'really', 'problem', 'youve', 'try', 'dispute', 'transaction', 'gemma', 'you', 'queryxe2x80xa6', 'httpstcou2nbspmu0w']"
549,"['bshu29650959', 'hope', 'youve', 'able', 'get', 'touch', 'pop', 'andxe2x80xa6', 'httpstcoiddbzoqjnz']"
550,"['bhammo84', 'offer', 'available', 'moment', 'youll', 'able', 'see', 'app', 'online', 'hammoxe2x80xa6', 'httpstcox5ywxbryox']"
551,"['barrbee5', 'good', 'morning', 'rob', 'get', 'back', 'weve', 'super', 'busy', 'does', 'father', 'havexe2x80xa6', 'httpstcomsstj1sczv']"
552,"['bacommonsoul', 'steven', 'reply', 'hear', 'experience', 'can', 'let', 'knowxe2x80xa6', 'httpstcojrxy7cuy5j']"
553,"['bgavlea82', 'gav', 'reply', 'were', 'work', 'request', 'quickly', 'possible', 'andxe2x80xa6', 'httpstcoxf79glqfmz']"
554,"['bnikdiem', 'dont', 'hold', 'barclaycard', 'account', 'receive', 'marketing', 'request', 'detailsxe2x80xa6', 'httpstcohnqgylafpv']"
555,"['bnikdiem', 'sorry', 'reply', 'youre', 'customer', 'amend', 'marketing', 'prexe2x80xa6', 'httpstcok9yqw178ge']"
556,"['bcraigat09', 'craig', 'see', 'colleague', 'reply', 'help', 'steven', 'b']"
557,"['bkylegibbs_94', 'kyle', 'sorry', 'reply', 'our', 'line', 'open', '8am8pm', 'moment', 'can', 'tell', 'mexe2x80xa6', 'httpstcotyzqh1eyzt']"
558,"['barianaspawn', 'hello', 'ariana', 'manage', 'send', 'support', 'documentation', 'back', 'request', 'anxe2x80xa6', 'httpstcoktq2fwkqr7']"
559,"['blaurenroseford', 'lauren', 'reply', 'we', 'deal', 'specifically', 'barclaycard', 'uk', 'ouxe2x80xa6', 'httpstcoikdf2xpzn3']"
560,"['bmatt_keilty', 'hey', 'matt', 'global', 'restriction', 'place', 'teams', 'arent', 'available', 'others', 'fuxe2x80xa6', 'httpstco9tpet4lizh']"
561,"['bkwalsh99511375', 'reply', 'wait', 'speak', 'we', 'work', 'youxe2x80xa6', 'httpstcoujnkecyqrm']"
562,"['blittlegingeemd', 'emily', 'sorry', 'issue', 'get', 'have', 'manage', 'speak', 'anyone', 'canxe2x80xa6', 'httpstcoaqct5cpphg']"
563,"['bolivero13771028', 'sorry', 'feel', 'weve', 'rude', 'oliver', 'glad', 'youve', 'able', 'call', 'get', 'sort', 'for', 'fxe2x80xa6', 'httpstco7eurjwxmuj']"
564,"['blynnj17', 'lynn', 'sorry', 'what', 'type', 'file', 'send', 'message', 'display', 'try', 'open', 'nicola']"
565,"['btim_xlvii', 'tim', 'could', 'please', 'pop', 'let', 'know', 'whats', 'happen', 'carxe2x80xa6', 'httpstcoikly00r8wd']"
566,"['bjimmybunter', 'paul', 'this', 'isnt', 'great', 'see', 'well', 'look', 'you', 'reachxe2x80xa6', 'httpstcog709l4khcu']"
567,"['brenegadefighter', 'renee', 'sorry', 'wait', 'did', 'manage', 'speak', 'anyone', 'tell', 'littlexe2x80xa6', 'httpstcovwumcx2yhj']"
568,"['bjust_stephs', 'reply', 'issue', 'youve', 'face', 'make', 'payment', 'there', 'arexe2x80xa6', 'httpstco7tfai18r67']"
569,"['blplivetweet', 'hello', 'would', 'mind', 'come', 'tell', 'issue', 'youre', 'face', 'pleasexe2x80xa6', 'httpstcoigejexblrj']"
570,"['bdaemonjester', 'sorry', 'reply', 'how', 'raise', 'request', 'nicola']"
571,"['belemirati', 'sorry', 'wait', 'did', 'manage', 'speak', 'anyone', 'please', 'tell', 'little', 'axe2x80xa6', 'httpstco0famgxwldu']"
572,"['bmikem4505', 'we', 'cant', 'take', 'detail', 'via', 'twitter', 'youd', 'raise', 'team', 'securely', 'either', 'via', 'mybxe2x80xa6', 'httpstcospk6hb7xsc']"
573,"['bmikem4505', 'know', 'line', 'busier', 'usual', 'normal', 'level', 'service', 'try', 'ansxe2x80xa6', 'httpstcocw7da6hfk7']"
574,"['bmikem4505', 'sign', 'really', 'easy', 'query', 'transaction', 'youd', 'prefer', 'use', 'servicexe2x80xa6', 'httpstcoiay5ir2w5h']"
575,"['banne_paterson1', 'anne', 'global', 'situation', 'busier', 'usual', 'team', 'arent', 'office', 'wexe2x80xa6', 'httpstcooyyqzxthio']"
576,"['bmikem4505', 'the', 'app', 'provide', 'basic', 'barclaycard', 'service', 'mybarclaycard', 'site', 'little', 'detailed', 'witxe2x80xa6', 'httpstcofbtnelxgbz']"
577,"['bkeithjreedy', 'keith', 'reply', 'we', 'workaround', 'so', 'explaxe2x80xa6', 'httpstcovmu5waobvw']"
578,"['bthatchger1', 'geraint', 'you', 'send', 'complete', 'dispute', 'form', 'follow', 'addressnnbaxe2x80xa6', 'httpstcohuwvjfjcba']"
579,"['bthanks_nhs_2020', 'dont', 'timescale', 'moment', 'however', 'application', 'accept', 'wexe2x80x99llxe2x80xa6', 'httpstcoptxysgols9']"
580,"['bv8fettler', 'ah', 'see', 'our', 'team', 'really', 'busy', 'many', 'customer', 'wait', 'queue', 'improve', 'staxe2x80xa6', 'httpstcoqxjyw7wrho']"
581,"['bjennie_eq', 'jennie', 'ive', 'reply', 'send', 'help', 'steven', 'b']"
582,"['bjack47631729', 'jack', 'sorry', 'reply', 'we', 'work', 'around', 'error', 'gixe2x80xa6', 'httpstco5ozob4itby']"
583,"['bmikem4505', 'isnt', 'available', 'moment', 'do', 'access', 'mybarclaycard', 'service', 'mike', 'itxe2x80xa6', 'httpstcozrnznjij4k']"
584,"['bjack47631729', 'v8fettler', 'jack', 'reply', 'a', 'colleague', 'respond', 'willxe2x80xa6', 'httpstcoxqjoai9xmf']"
585,"['bfansonkey', 'key', 'reply', 'wed', 'speak', 'securely', 'look', 'stop', 'paxe2x80xa6', 'httpstco748si21rx1']"
586,"['bandrewilliam69', 'get', 'back', 'you', 'dont', 'woxe2x80xa6', 'httpstcovoqp0jcejn']"
587,"['bjuliedurling1', 'julie', 'reply', 'as', 'wouldnt', 'receive', 'holiday', 'pay', 'wxe2x80xa6', 'httpstco8yuyknlpls']"
588,"['bmajidkh34428373', 'reply', 'wait', 'speak', 'phone', 'can', 'yoxe2x80xa6', 'httpstcomp098pd0fl']"
589,"['bmikem4505', 'do', 'access', 'mybarclaycard', 'service', 'via', 'httpstcoexcvlyapjz', 'query', 'trxe2x80xa6', 'httpstcob3b5enxlql']"
590,"['bmikem4505', 'mike', 'sorry', 'reply', 'theres', 'facility', 'temporarily', 'freeze', 'barclaycard', 'thxe2x80xa6', 'httpstcogfrhuhh7e7']"
591,"['brat_pack_fan', 'hello', 'michael', 'fund', 'reach', 'account', 'even', 'credit', 'old', 'card', 'system', 'sxe2x80xa6', 'httpstcosqnswjuarg']"
592,"['bpixelpreet74', 'gurpreet', 'really', 'hear', 'can', 'tell', 'little', 'whats', 'happen', 'pleaxe2x80xa6', 'httpstco9n93htn2zr']"
593,"['bjcthegooner', 'weve', 'few', 'colleague', 'usual', 'answer', 'phone', 'right', 'coronavirusxe2x80xa6', 'httpstcoydz0uvwluz']"
594,"['bdaveyprater', 'davey', 'respond', 'message', 'could', 'please', 'let', 'know', 'erroxe2x80xa6', 'httpstcoty7divykdd']"
595,"['b180tl', 'tom', 'reply', 'issue', 'youve', 'speak', 'phone', 'wevexe2x80xa6', 'httpstcom1hv7hkxh8']"
596,"['babenaaxo', 'hello', 'would', 'mind', 'come', 'tell', 'payment', 'take', 'id', 'likexe2x80xa6', 'httpstcozo29lz2afb']"
597,"['brwb4590', 'ryan', 'sorry', 'werent', 'able', 'get', 'when', 'complete', 'application', 'can', 'alsxe2x80xa6', 'httpstcokzc0zbq1fk']"
598,"['blindaha22197264', 'lindylou', 'reply', 'experience', 'try', 'contact', 'caxe2x80xa6', 'httpstcolyg6vajpwk']"
599,"['bjordsliddle', 'ah', 'right', 'work', 'process', 'quickly', 'possible', 'get', 'soon', 'caxe2x80xa6', 'httpstco9rfewj4bp2']"
600,"['bkonnysparks', 'konrad', 'ive', 'reply', 'send', 'look', 'help', 'steven', 'b']"
601,"['bdobiemanengland', 'colin', 'hear', 'feel', 'way', 'can', 'tell', 'little', 'whats', 'happenedxe2x80xa6', 'httpstcoyr28fb603t']"
602,"['bmummy_joseph', 'emma', 'hope', 'youve', 'able', 'get', 'sort', 'pop', 'andxe2x80xa6', 'httpstco4apk1zh4ir']"
603,"['bameloah', 'patricia', 'reply', 'ive', 'respond', 'kev']"
604,"['bfpwilliams71', 'paul', 'reply', 'you', 'request', 'transfer', 'credit', 'balance', 'bacxe2x80xa6', 'httpstcoa85d7ewh09']"
605,"['bstevetrevelyan3', 'the', 'team', 'work', 'hard', 'get', 'application', 'get', 'sort', 'quickly', 'txe2x80xa6', 'httpstcohorkozla3u']"
606,"['bstevetrevelyan3', 'ive', 'copy', 'website', 'youve', 'already', 'miss', 'one', 'payment', 'recently', 'due', 'coronaxe2x80xa6', 'httpstcoe9ocp8phqs']"
607,"['bexbehaviour', 'can', 'confirm', 'payment', 'holiday', 'put', 'place', 'yourxe2x80xa6', 'httpstcoala673jjxs']"
608,"['bhuddersluke', 'wizzair', 'luke', 'message', 'take', 'long', 'come', 'back', 'arxe2x80xa6', 'httpstcoemwkji4skc']"
609,"['bstreamgawd1007', 'there', 'reach', 'friend', 'askbarclaysus', 'theyll', 'happy', 'help', 'thxe2x80xa6', 'httpstconkm6btd441']"
610,"['bhemantsurana10', 'hemant', 'really', 'work', 'hard', 'deal', 'amount', 'ofxe2x80xa6', 'httpstco5xkxtdblvt']"
611,"['bderfilmer', 'max', 'message', 'take', 'long', 'come', 'back', 'work', 'asxe2x80xa6', 'httpstcompuk18onfl']"
612,"['bmazfox421', 'mike', 'message', 'take', 'long', 'come', 'back', 'sorry', 'youxe2x80xa6', 'httpstcoq9orjba18p']"
613,"['btaichimonkey', '22', 'app', 'use', 'website', 'make', 'payment', 'soxe2x80xa6', 'httpstcoufwgutjso9']"
614,"['btaichimonkey', 'there', 'message', 'take', 'long', 'come', 'back', 'workixe2x80xa6', 'httpstcohjbfa4etxg']"
615,"['bbrowniegirl1098', 'amy', 'we', 'unprecedented', 'time', 'currently', 'customer', 'ever', 'need', 'helpxe2x80xa6', 'httpstcosndyffpbx4']"
616,"['bjadebarrett27', 'you', 'request', 'transfer', 'credit', 'balance', 'back', 'bank', 'account', 'online', 'save', 'yoxe2x80xa6', 'httpstcoq3lhuylm5o']"
617,"['bbarryallcock', 'barry', 'really', 'work', 'hard', 'deal', 'amount', 'quexe2x80xa6', 'httpstcodd4rbh2au3']"
618,"['bbenjamingeorge1', 'benjamin', 'message', 'take', 'long', 'come', 'back', 'httpstcolp8tzowazc']"
619,"['bhankmoodiest', 'can', 'pop', 'let', 'know', 'log', 'dispute', 'sent', 'form', 'cxe2x80xa6', 'httpstcoiw1nhdbz0t']"
620,"['bboo2905', 'suzanne', 'message', 'take', 'long', 'come', 'back', 'use', 'thixe2x80xa6', 'httpstco8tt9jnmhlg']"
621,"['bjpjpjpjpjpjp94', 'jp', 'cant', 'guarantee', 'due', 'volume', 'message', 'team', 'currently', 'deaxe2x80xa6', 'httpstcotauywzwpku']"
622,"['bhedgehunter80', 'no', 'problem', 'kelly', 'xf0x9fx91x8d', 'stay', 'safe', 'cass']"
623,"['bslaterjames18', 'you', 'request', 'transfer', 'credit', 'balance', 'back', 'bank', 'account', 'online', 'save', 'yoxe2x80xa6', 'httpstcosaamvntp4s']"
624,"['bmissdarlinn', 'letting', 'know', 'stay', 'safe', 'xf0x9fx91x8d', 'cass']"
625,"['bfraudsters', 'take', 'advantage', 'coronavirus', 'situation', 'range', 'new', 'scam', 'xe2x80x93', 'via', 'text', 'message', 'emailsxe2x80xa6', 'httpstco5ndal7oa2i']"
626,"['bhedgehunter80', 'you', 'request', 'transfer', 'credit', 'balance', 'back', 'bank', 'account', 'online', 'save', 'yoxe2x80xa6', 'httpstcodzzjya1hkl']"
627,"['bgeoff_wiv_a_g', 'let', 'know', 'geoff', 'thanks', 'patience', 'stay', 'safe', 'cass']"
628,"['bdickturpinsmask', 'hear', 'adam', 'send', 'postcode', 'phone', 'number', 'wellxe2x80xa6', 'httpstcowexmdxhsoq']"
629,"['bemilyxvxo', 'emily', 'cant', 'give', 'timescale', 'team', 'deal', 'high', 'volume', 'dixe2x80xa6', 'httpstcogkgdjbxkxo']"
630,"['bloosemoosh', 'hey', 'look', 'like', 'youre', 'try', 'get', 'team', 'barclaysbankus', 'might', 'worthxe2x80xa6', 'httpstconttg3xo1bp']"
631,"['bhesmore_', 'really', 'wait', 'did', 'manage', 'speak', 'anyone', 'tell', 'lixe2x80xa6', 'httpstcoa1zreiyv9m']"
632,"['bcharmaine_gina', 'just', 'call', '0800', '151', '0900', '24', 'hour', 'day', 'select', 'option', '1', 'heard', 'recordedxe2x80xa6', 'httpstcovrg9nur71c']"
633,"['bcharmaine_gina', 'hey', 'gina', 'know', 'wait', 'time', 'frustrating', 'assure', 'team', 'try', 'help', 'axe2x80xa6', 'httpstcocuvjrhrnte']"
634,"['bmgrayso86353221', 'ive', 'notice', 'dms', 'ill', 'respond', 'dotty']"
635,"['bits', 'simple', 'view', 'download', 'barclaycard', 'statement', 'just', 'log', 'register', 'online', 'servicing', 'choxe2x80xa6', 'httpstcou52myqcnez']"
636,"['bnatashakings89', 'natasha', 'ill', 'reply', 'nikki']"
637,"['boliversontour', 'sorry', 'youve', 'problem', 'go', 'httpstcoo2v1foniyl', 't', 'scroll', 'toxe2x80xa6', 'httpstcops8sajmr9k']"
638,"['bsophiegoodman3', 'sophie', 'ill', 'reply', 'nikki']"
639,"['bjacksnufc', 'ive', 'pass', 'thanks', 'julia', 'so', 'happy', 'manage', 'sort', 'jackie', 'nikki']"
640,"['bhighburysam', 'sorry', 'sam', 'glad', 'receive', 'form', 'sorry', 'trouble', 'youve', 'untxe2x80xa6', 'httpstcoib05bu7vjg']"
641,"['bcraigat09', 'craig', 'did', 'manage', 'get', 'sorted', 'please', 'send', 'ixe2x80xa6', 'httpstcomkirwijptj']"
642,"['bmats_247', 'great', 'news', 'xf0x9fx98x8a', 'dean']"
643,"['bkikiryan86', 'kelly', 'use', 'link', 'request', 'refund', 'httpstco60fqqbnolj', 'dean']"
644,"['bgrahamappleton5', 'sorry', 'graham', 'extremely', 'busy', 'recommend', 'call', 'urgent', 'did', 'getxe2x80xa6', 'httpstco3iniludrlk']"
645,"['bhayleyjade_', 'apologies', 'hayley', 'manage', 'make', 'payment', 'website', 'app', 'orxe2x80xa6', 'httpstcosli9tizctq']"
646,"['bjavvy_jav', 'apologies', 'jav', 'get', 'sort', 'can', 'help', 'dean']"
647,"['bmyktbh', 'hey', 'yes', 'extremely', 'busy', 'can', 'help', 'dean']"
648,"['bkikiryan86', 'how', 'help', 'kelly', 'call', 'dean']"
649,"['bmichaelmowbray1', 'michael', 'drop', 'check', 'dean', 'httpstcompqb4etryv']"
650,"['blolodilello', 'apologies', 'help', 'dean']"
651,"['bcaroline_bolt', 'caroline', 'help', 'dean']"
652,"['bmissdarlinn', 'we', 'busy', 'can', 'help', 'dean']"
653,"['binguidowetrust', 'hey', 'youre', 'also', 'need', 'dispute', 'transaction', 'online', 'online', 'account', 'well', 'dean']"
654,"['bv8fettler', 'craige', 'extremely', 'busy', 'you', 'raise', 'case', 'online', 'via', 'online', 'account', 'anxe2x80xa6', 'httpstcog1hpx6wunk']"
655,"['bsheena83627553', 'apologies', 'sheena', 'still', 'able', 'use', 'automate', 'system', 'make', 'payment', 'alternaxe2x80xa6', 'httpstco7zywcxi2rs']"
656,"['babbiewilson27', 'hey', 'abbie', 'usually', 'around', '5', 'wokring', 'day', 'maximum', 'dean']"
657,"['bjamesdude11', 'sure', 'use', 'option', 'xf0x9fx91x87', 'dean', 'httpstcompqb4etryv']"
658,"['bdarylcatpiss', 'what', 'error', 'jeff', 'dean']"
659,"['blexylaroche', 'lexi', 'team', 'extremely', 'busy', 'moment', 'can', 'help', 'allxe2x80xa6', 'httpstcobxeeswd6ec']"
660,"['bkimmykimeleon', 'hey', 'kim', 'timescale', 'help', 'dean']"
661,"['bburble61', 'check', 'sort', 'yet', 'dont', 'know', 'dean']"
662,"['bbitmap_books', 'check', 'personal', 'business', 'account', 'dean']"
663,"['balex86308763', 'alex', 'drop', 'name', 'postcode', 'phone', 'number', 'txe2x80xa6', 'httpstcogxz1lk2gho']"
664,"['bmarvels1981', 'martin', 'you', 'speak', 'team', 'theyre', 'extremely', 'busy', 'thexe2x80xa6', 'httpstco8sncfj3r5e']"
665,"['banybassdrum', 'sure', 'xf0x9fx91x8c', 'httpstcoz0zp9zxbhg', 'dean']"
666,"['bmats_247', 'the', 'team', 'extremely', 'busy', 'present', 'payment', 'due', 'do', 'havexe2x80xa6', 'httpstcoobbjld7wl1']"
667,"['bbeccej', 'okay', 'bec', 'phone', 'number', 'postcode', 'full', 'name', 'please', 'dean', 'httpstcompqb4etryv']"
668,"['bannapascoe', 'anna', 'payment', 'vary', 'depend', 'amount', 'work', 'day', 'month', 'well', 'usually', 'keep', 'thisxe2x80xa6', 'httpstcoecjmsm97yl']"
669,"['bmelissa_carp', 'please', 'accept', 'apology', 'melissa', 'help', 'dean']"
670,"['bjoezepecki', 'sorry', 'joe', 'youll', 'speak', 'colleague', 'us', 'askbarclaysus', 'mondayxe2x80xa6', 'httpstco2omyf4kxxu']"
671,"['brst220', 'iain', 'help', 'thats', 'easier', 'dean', 'httpstcompqb4etryv']"
672,"['bstaurt1', 'stuart', 'still', 'send', 'statement', 'customer', 'is', 'something', 'specific', 'youre', 'dean']"
673,"['bbobbyd1230', 'bobby', 'respond', 'dean']"
674,"['bjsunderland42', 'jessica', 'youll', 'speak', 'us', 'colleague', 'askbarclaysus', 'monday', 'friday', '9am5pm', 'est', 'dean']"
675,"['bolivero13771028', 'oliver', 'form', 'live', '3', 'week', 'apply', 'once', 'processedxe2x80xa6', 'httpstcowiazvfwluj']"
676,"['bopinessrp', 'apologies', 'check', 'youre', 'uk', 'us', 'customer', 'youre', 'need', 'us', 'team', 'youll', 'find', 'herxe2x80xa6', 'httpstcoimzlsgpnve']"
677,"['bjenniep2020', 'j', 'youll', 'speak', 'colleague', 'us', 'askbarclaysus', 'monday', 'friday', '9am5pm', 'est', 'dean']"
678,"['bdhedged', 'hey', 'sure', 'extremely', 'busy', 'can', 'help', 'youd', 'prefer', 'dean', 'httpstcompqb4etryv']"
679,"['bron90775112', 'hear', 'ron', 'youll', 'reach', 'us', 'colleague', 'thisxe2x80xa6', 'httpstcosmtb0594zj']"
680,"['bjordsliddle', 'jordan', 'help', 'dean']"
